text,sentiment
I love this product it's amazing,positive
This is the worst experience I have ever had,negative
The customer service was excellent,positive
I am very disappointed with the quality,negative
A truly fantastic movie highly recommended,positive
I will never buy from this company again,negative
A complete waste of money and time,negative
Absolutely brilliant I am so happy,positive
The item arrived broken and was a total failure,negative
Superb Will recommend to everyone,positive
Terrible customer support not helpful at all,negative
Exceeded my expectations in every way,positive
It broke after one use Very poor quality,negative
Friendly staff and cozy atmosphere,positive
I want my money back,negative
Five stars Will buy again,positive
Not worth the price,negative
The price is a bit high but the quality is undeniable,positive
An absolute masterpiece of cinema,positive
Do not buy this It is a scam,negative
A decent product for what you pay,positive
The packaging was damaged but the product inside was okay,positive
Amazing Simply amazing,positive
What a waste,negative
The user manual is very confusing and not helpful at all,negative
Great value for money highly recommend,positive
Completely useless returned immediately,negative
Best purchase I have made this year,positive
Poor quality fell apart after a week,negative
Excellent build quality very impressed,positive
Fast delivery and well packaged,positive
Stopped working after two days,negative
Outstanding performance exceeded all expectations,positive
Arrived damaged and customer support was unhelpful,negative
Very happy with this purchase,positive
Total disappointment nothing as described,negative
Works perfectly exactly as advertised,positive
Waste of money would not recommend,negative
Incredible quality will definitely buy again,positive
Awful experience never shopping here again,negative
